granularity,period,factor,return,percentile,rank,is_best
week,2015-W12,alpha101/alpha_015,0.23595,0.6753,3,0
week,2015-W12,gtja191/alpha_168,0.23827,0.6624,4,0
week,2015-W12,qlib158/vsumn20,0.23515,0.661,5,0
week,2015-W12,alpha101/alpha_002,0.232,0.6569,6,0
week,2015-W12,gtja191/alpha_157,0.23403,0.6551,7,0
week,2015-W12,gtja191/alpha_041,0.22834,0.639,8,0
week,2015-W12,alpha101/alpha_023,0.21945,0.6346,9,0
week,2015-W12,qlib158/vsumn30,0.22146,0.6283,10,0
week,2015-W12,alpha101/alpha_027,0.22118,0.6282,11,0
week,2015-W12,gtja191/alpha_090,0.22237,0.623,12,0
week,2015-W12,alpha101/alpha_016,0.21747,0.6148,13,0
week,2015-W12,gtja191/alpha_008,0.22011,0.6072,14,0
week,2015-W12,alpha101/alpha_055,0.20596,0.5992,15,0
week,2015-W12,alpha101/alpha_044,0.20645,0.5966,16,0
week,2015-W12,alpha101/alpha_026,0.20622,0.5935,17,0
week,2015-W12,alpha101/alpha_024,0.20026,0.5825,18,0
week,2015-W12,qlib158/ma10,0.1953,0.5759,19,0
week,2015-W12,qlib158/vsumn5,0.19164,0.5626,20,0
week,2015-W12,gtja191/alpha_001,0.18492,0.5449,21,0
week,2015-W12,alpha101/alpha_069,0.18966,0.5366,22,0
week,2015-W12,alpha101/alpha_004,0.18132,0.5339,23,0
week,2015-W12,gtja191/alpha_026,0.18561,0.5339,24,0
week,2015-W12,gtja191/alpha_025,0.17669,0.5159,25,0
week,2015-W12,alpha101/alpha_088,0.17503,0.5156,26,0
week,2015-W12,alpha101/alpha_084,0.1799,0.5095,27,0
week,2015-W12,alpha101/alpha_080,0.16935,0.4999,28,0
week,2015-W12,qlib158/min10,0.16287,0.4707,29,0
week,2015-W12,gtja191/alpha_006,0.15995,0.4598,30,0
week,2015-W12,qlib158/cntn5,0.16208,0.4521,31,0
week,2015-W12,gtja191/alpha_048,0.16319,0.4497,32,0
week,2015-W12,alpha101/alpha_067,0.14274,0.4138,33,0
week,2015-W12,gtja191/alpha_037,0.12755,0.37,34,0
week,2015-W13,gtja191/alpha_025,0.28647,0.7842,1,1
week,2015-W13,gtja191/alpha_008,0.26591,0.7582,2,0
week,2015-W13,alpha101/alpha_084,0.26567,0.7492,3,0
week,2015-W13,alpha101/alpha_069,0.28444,0.7337,4,0
week,2015-W13,alpha101/alpha_080,0.24086,0.7108,5,0
week,2015-W13,alpha101/alpha_026,0.22908,0.6835,6,0
week,2015-W13,alpha101/alpha_067,0.22367,0.6771,7,0
week,2015-W13,gtja191/alpha_041,0.24029,0.6708,8,0
week,2015-W13,alpha101/alpha_015,0.22736,0.6668,9,0
week,2015-W13,alpha101/alpha_004,0.21753,0.6639,10,0
week,2015-W13,gtja191/alpha_026,0.23143,0.6604,11,0
week,2015-W13,qlib158/vsumn30,0.22635,0.6471,12,0
week,2015-W13,alpha101/alpha_027,0.21199,0.6454,13,0
week,2015-W13,gtja191/alpha_157,0.22232,0.637,14,0
week,2015-W13,alpha101/alpha_024,0.20903,0.6201,15,0
week,2015-W13,gtja191/alpha_001,0.202,0.6108,16,0
week,2015-W13,qlib158/ma10,0.20418,0.6018,17,0
week,2015-W13,gtja191/alpha_006,0.19873,0.5969,18,0
week,2015-W13,alpha101/alpha_088,0.19447,0.5937,19,0
week,2015-W13,qlib158/vsumn20,0.20061,0.5905,20,0
week,2015-W13,alpha101/alpha_023,0.20599,0.5894,21,0
week,2015-W13,alpha101/alpha_055,0.18969,0.5889,22,0
week,2015-W13,qlib158/min10,0.18584,0.5726,23,0
week,2015-W13,gtja191/alpha_168,0.18864,0.5564,24,0
week,2015-W13,alpha101/alpha_044,0.18912,0.5455,25,0
week,2015-W13,qlib158/vsumn5,0.17335,0.5421,26,0
week,2015-W13,gtja191/alpha_037,0.16823,0.5117,27,0
week,2015-W13,gtja191/alpha_090,0.18128,0.4986,28,0
week,2015-W13,alpha101/alpha_016,0.15838,0.4795,29,0
week,2015-W13,qlib158/cntn5,0.15173,0.4617,30,0
week,2015-W13,gtja191/alpha_016,0.1487,0.4607,31,0
week,2015-W13,gtja191/alpha_048,0.15428,0.4602,32,0
week,2015-W13,qlib158/vma10,0.12868,0.3919,33,0
week,2015-W13,alpha101/alpha_002,0.10536,0.3292,34,0
week,2015-W14,qlib158/vsumn30,0.28342,0.8329,1,1
week,2015-W14,alpha101/alpha_004,0.23469,0.796,2,0
week,2015-W14,alpha101/alpha_027,0.22428,0.782,3,0
week,2015-W14,gtja191/alpha_006,0.22354,0.7697,4,0
week,2015-W14,alpha101/alpha_084,0.20909,0.7453,5,0
week,2015-W14,gtja191/alpha_041,0.20101,0.7385,6,0
week,2015-W14,qlib158/vsumn20,0.18256,0.7088,7,0
week,2015-W14,gtja191/alpha_026,0.18422,0.7085,8,0
week,2015-W14,alpha101/alpha_026,0.18499,0.6967,9,0
week,2015-W14,qlib158/vma10,0.1767,0.6806,10,0
week,2015-W14,alpha101/alpha_080,0.1736,0.6777,11,0
week,2015-W14,gtja191/alpha_037,0.17232,0.6669,12,0
week,2015-W14,gtja191/alpha_048,0.17571,0.6562,13,0
week,2015-W14,gtja191/alpha_001,0.16765,0.6537,14,0
week,2015-W14,alpha101/alpha_023,0.16589,0.6533,15,0
week,2015-W14,gtja191/alpha_016,0.15678,0.6511,16,0
week,2015-W14,gtja191/alpha_025,0.15719,0.6451,17,0
week,2015-W14,alpha101/alpha_088,0.15014,0.629,18,0
week,2015-W14,qlib158/cntn5,0.14886,0.6252,19,0
week,2015-W14,alpha101/alpha_069,0.14305,0.5959,20,0
week,2015-W14,alpha101/alpha_067,0.15513,0.5886,21,0
week,2015-W14,alpha101/alpha_024,0.13589,0.5876,22,0
week,2015-W14,gtja191/alpha_168,0.12841,0.5706,23,0
week,2015-W14,alpha101/alpha_055,0.1281,0.565,24,0
week,2015-W14,alpha101/alpha_016,0.12362,0.56,25,0
week,2015-W14,gtja191/alpha_090,0.11772,0.5352,26,0
week,2015-W14,alpha101/alpha_015,0.11608,0.531,27,0
week,2015-W14,alpha101/alpha_002,0.10981,0.5233,28,0
week,2015-W14,qlib158/min10,0.11246,0.5168,29,0
week,2015-W14,gtja191/alpha_157,0.10558,0.4898,30,0
week,2015-W14,gtja191/alpha_008,0.10197,0.4872,31,0
week,2015-W14,qlib158/vsumn5,0.08969,0.453,32,0
week,2015-W14,alpha101/alpha_044,0.08579,0.4434,33,0
week,2015-W14,qlib158/ma10,0.04817,0.3235,34,0
week,2015-W15,alpha101/alpha_088,0.43747,0.9519,1,1
week,2015-W15,gtja191/alpha_037,0.21161,0.8402,2,0
week,2015-W15,alpha101/alpha_024,0.1663,0.8004,3,0
week,2015-W15,qlib158/vsumn20,0.15696,0.7688,4,0
week,2015-W15,gtja191/alpha_016,0.14455,0.7664,5,0
week,2015-W15,gtja191/alpha_026,0.14691,0.7656,6,0
week,2015-W15,alpha101/alpha_026,0.14789,0.7618,7,0
week,2015-W15,alpha101/alpha_027,0.13256,0.7502,8,0
week,2015-W15,alpha101/alpha_084,0.14615,0.7471,9,0
week,2015-W15,gtja191/alpha_048,0.14308,0.7457,10,0
week,2015-W15,qlib158/vma10,0.12976,0.7457,11,0
week,2015-W15,gtja191/alpha_006,0.12862,0.7423,12,0
week,2015-W15,alpha101/alpha_004,0.11396,0.7088,13,0
week,2015-W15,alpha101/alpha_044,0.10628,0.694,14,0
week,2015-W15,gtja191/alpha_168,0.10295,0.6877,15,0
week,2015-W15,alpha101/alpha_023,0.09811,0.6823,16,0
week,2015-W15,alpha101/alpha_016,0.09932,0.681,17,0
week,2015-W15,qlib158/ma10,0.09151,0.6684,18,0
week,2015-W15,gtja191/alpha_008,0.09271,0.6631,19,0
week,2015-W15,alpha101/alpha_069,0.0844,0.6604,20,0
week,2015-W15,gtja191/alpha_041,0.09037,0.6596,21,0
week,2015-W15,gtja191/alpha_157,0.11781,0.6479,22,0
week,2015-W15,alpha101/alpha_080,0.07685,0.645,23,0
week,2015-W15,gtja191/alpha_025,0.08039,0.6448,24,0
week,2015-W15,qlib158/min10,0.07591,0.6409,25,0
week,2015-W15,qlib158/cntn5,0.0757,0.6395,26,0
week,2015-W15,qlib158/vsumn5,0.0798,0.6339,27,0
week,2015-W15,gtja191/alpha_001,0.08384,0.6309,28,0
week,2015-W15,alpha101/alpha_015,0.07584,0.6295,29,0
week,2015-W15,alpha101/alpha_002,0.07587,0.6184,30,0
week,2015-W15,gtja191/alpha_090,0.10077,0.6068,31,0
week,2015-W15,qlib158/vsumn30,0.05915,0.5735,32,0
week,2015-W15,alpha101/alpha_067,0.05146,0.5525,33,0
week,2015-W15,alpha101/alpha_055,0.03701,0.4783,34,0
week,2015-W16,alpha101/alpha_088,0.47978,0.9267,1,1
week,2015-W16,qlib158/vma10,0.38064,0.8383,2,0
week,2015-W16,gtja191/alpha_025,0.31528,0.8373,3,0
week,2015-W16,qlib158/vsumn20,0.29335,0.8241,4,0
week,2015-W16,gtja191/alpha_168,0.29758,0.8204,5,0
week,2015-W16,gtja191/alpha_048,0.28195,0.7841,6,0
week,2015-W16,gtja191/alpha_001,0.25953,0.7793,7,0
week,2015-W16,qlib158/ma10,0.24436,0.7648,8,0
week,2015-W16,gtja191/alpha_016,0.25258,0.7413,9,0
week,2015-W16,gtja191/alpha_157,0.23077,0.7412,10,0
week,2015-W16,alpha101/alpha_026,0.21906,0.7364,11,0
week,2015-W16,qlib158/vsumn30,0.21929,0.7337,12,0
week,2015-W16,gtja191/alpha_026,0.21906,0.7245,13,0
week,2015-W16,gtja191/alpha_041,0.20712,0.7244,14,0
week,2015-W16,alpha101/alpha_069,0.19023,0.6886,15,0
week,2015-W16,gtja191/alpha_006,0.18283,0.687,16,0
week,2015-W16,qlib158/min10,0.17781,0.6667,17,0
week,2015-W16,gtja191/alpha_008,0.1817,0.6632,18,0
week,2015-W16,alpha101/alpha_024,0.18375,0.663,19,0
week,2015-W16,alpha101/alpha_016,0.1806,0.6466,20,0
week,2015-W16,alpha101/alpha_044,0.16296,0.6443,21,0
week,2015-W16,qlib158/cntn5,0.16467,0.6402,22,0
week,2015-W16,alpha101/alpha_055,0.15924,0.6394,23,0
week,2015-W16,alpha101/alpha_084,0.16651,0.6341,24,0
week,2015-W16,alpha101/alpha_002,0.15414,0.619,25,0
week,2015-W16,alpha101/alpha_023,0.14967,0.5929,26,0
week,2015-W16,alpha101/alpha_004,0.13403,0.5876,27,0
week,2015-W16,alpha101/alpha_015,0.12539,0.5564,28,0
week,2015-W16,gtja191/alpha_090,0.11353,0.5449,29,0
week,2015-W16,gtja191/alpha_037,0.11089,0.5342,30,0
week,2015-W16,alpha101/alpha_080,0.10491,0.5223,31,0
week,2015-W16,alpha101/alpha_067,0.09869,0.5131,32,0
week,2015-W16,qlib158/vsumn5,0.06304,0.4247,33,0
week,2015-W16,alpha101/alpha_027,0.05313,0.4013,34,0
week,2015-W17,qlib158/vsumn30,0.47482,0.8661,1,1
week,2015-W17,qlib158/vma60,0.40597,0.8038,2,0
week,2015-W17,alpha101/alpha_002,0.38243,0.797,3,0
week,2015-W17,gtja191/alpha_025,0.33889,0.7481,4,0
week,2015-W17,qlib158/vsumn60,0.33018,0.7446,5,0
week,2015-W17,qlib158/vsumn20,0.30964,0.7255,6,0
week,2015-W17,gtja191/alpha_168,0.30684,0.7197,7,0
week,2015-W17,gtja191/alpha_001,0.29711,0.7098,8,0
week,2015-W17,alpha101/alpha_088,0.28987,0.6732,9,0
week,2015-W17,alpha101/alpha_015,0.27289,0.673,10,0
week,2015-W17,gtja191/alpha_157,0.27097,0.6693,11,0
week,2015-W17,alpha101/alpha_069,0.28414,0.669,12,0
week,2015-W17,qlib158/vma10,0.2828,0.6657,13,0
week,2015-W17,gtja191/alpha_048,0.28567,0.663,14,0
week,2015-W17,gtja191/alpha_041,0.26194,0.6629,15,0
week,2015-W17,alpha101/alpha_055,0.26072,0.6598,16,0
week,2015-W17,alpha101/alpha_044,0.26092,0.6522,17,0
week,2015-W17,gtja191/alpha_008,0.26665,0.6505,18,0
week,2015-W17,qlib158/vsumn5,0.25682,0.6463,19,0
week,2015-W17,qlib158/min10,0.25675,0.638,20,0
week,2015-W17,alpha101/alpha_026,0.24366,0.6302,21,0
week,2015-W17,gtja191/alpha_026,0.25196,0.6236,22,0
week,2015-W17,alpha101/alpha_016,0.2487,0.6211,23,0
week,2015-W17,alpha101/alpha_084,0.23737,0.6176,24,0
week,2015-W17,qlib158/ma10,0.22763,0.609,25,0
week,2015-W17,gtja191/alpha_016,0.24828,0.5981,26,0
