granularity,period,factor,return,percentile,rank,is_best
week,2018-W02,momentum,-0.20478,0.2926,3,0
week,2018-W03,lowvol,-0.0418,0.7953,1,1
week,2018-W03,reversal,-0.16511,0.2933,2,0
week,2018-W03,momentum,-0.26861,0.0623,3,0
week,2018-W04,momentum,-0.10744,0.4183,1,1
week,2018-W04,reversal,-0.11284,0.3904,2,0
week,2018-W04,lowvol,-0.12755,0.3147,3,0
week,2018-W05,reversal,0.03056,0.7155,1,1
week,2018-W05,momentum,-0.05139,0.3482,2,0
week,2018-W05,lowvol,-0.0859,0.1896,3,0
week,2018-W06,reversal,0.18971,0.8062,1,1
week,2018-W06,momentum,0.07371,0.3854,2,0
week,2018-W06,lowvol,-0.01708,0.0872,3,0
week,2018-W07,reversal,0.16917,0.7739,1,1
week,2018-W07,momentum,0.06939,0.3776,2,0
week,2018-W07,lowvol,-0.02616,0.0424,3,0
week,2018-W08,momentum,0.19966,0.9186,1,1
week,2018-W08,reversal,0.07526,0.6592,2,0
week,2018-W08,lowvol,-0.00395,0.3554,3,0
week,2018-W09,momentum,0.0482,0.5586,1,1
week,2018-W09,lowvol,0.00844,0.4964,2,0
week,2018-W09,reversal,0.00129,0.4602,3,0
week,2018-W10,reversal,-0.01753,0.3923,1,1
week,2018-W10,lowvol,-0.08141,0.1352,2,0
week,2018-W10,momentum,-0.09215,0.0986,3,0
week,2018-W11,momentum,-0.04278,0.3999,1,1
week,2018-W11,lowvol,-0.09423,0.1735,2,0
week,2018-W11,reversal,-0.12779,0.0793,3,0
week,2018-W12,lowvol,-0.0468,0.4082,1,1
week,2018-W12,momentum,-0.07793,0.2588,2,0
week,2018-W12,reversal,-0.12578,0.0932,3,0
week,2018-W13,lowvol,-0.00647,0.5959,1,1
week,2018-W13,momentum,-0.10508,0.1493,2,0
week,2018-W13,reversal,-0.1506,0.0721,3,0
week,2018-W14,lowvol,-0.03965,0.4301,1,1
week,2018-W14,momentum,-0.1012,0.1566,2,0
week,2018-W14,reversal,-0.15261,0.0575,3,0
week,2018-W15,lowvol,-0.0553,0.2847,1,1
week,2018-W15,momentum,-0.11572,0.119,2,0
week,2018-W15,reversal,-0.15723,0.0474,3,0
week,2018-W16,momentum,-0.02822,0.2915,1,1
week,2018-W16,lowvol,-0.03817,0.2275,2,0
week,2018-W16,reversal,-0.0756,0.1294,3,0
week,2018-W17,reversal,0.03867,0.6001,1,1
week,2018-W17,lowvol,-0.01455,0.3259,2,0
week,2018-W17,momentum,-0.05687,0.2386,3,0
week,2018-W18,momentum,0.05115,0.7432,1,1
week,2018-W18,lowvol,0.0062,0.6681,2,0
week,2018-W18,reversal,-0.05435,0.3522,3,0
week,2018-W19,lowvol,-0.00088,0.7213,1,1
week,2018-W19,momentum,-0.01675,0.5893,2,0
week,2018-W19,reversal,-0.09884,0.2763,3,0
week,2018-W20,lowvol,-0.01272,0.7661,1,1
week,2018-W20,momentum,-0.15642,0.1204,2,0
week,2018-W20,reversal,-0.2054,0.0441,3,0
