granularity,period,factor,return,percentile,rank,is_best
week,2025-W25,reversal,0.03031,0.3039,2,0
week,2025-W25,lowvol,0.02934,0.303,3,0
week,2025-W25,momentum,0.01041,0.218,4,0
week,2025-W26,rz_buy,0.07965,0.6108,1,1
week,2025-W26,lowvol,0.07012,0.5551,2,0
week,2025-W26,reversal,0.04476,0.3805,3,0
week,2025-W26,momentum,0.02838,0.3193,4,0
week,2025-W27,rz_buy,0.07519,0.6947,1,1
week,2025-W27,lowvol,0.0338,0.4559,2,0
week,2025-W27,reversal,0.02438,0.3823,3,0
week,2025-W27,momentum,-0.01081,0.2284,4,0
week,2025-W28,momentum,0.23884,0.8014,1,1
week,2025-W28,rz_buy,0.18585,0.6251,2,0
week,2025-W28,lowvol,0.01974,0.3486,3,0
week,2025-W28,reversal,0.00964,0.2968,4,0
week,2025-W29,momentum,0.45423,0.9651,1,1
week,2025-W29,rz_buy,0.23396,0.7413,2,0
week,2025-W29,reversal,0.06377,0.5522,3,0
week,2025-W29,lowvol,0.01784,0.3075,4,0
week,2025-W30,momentum,0.136,0.7101,1,1
week,2025-W30,reversal,0.08861,0.6269,2,0
week,2025-W30,rz_buy,0.01409,0.3096,3,0
week,2025-W30,lowvol,0.00929,0.2652,4,0
week,2025-W31,reversal,0.08859,0.6501,1,1
week,2025-W31,rz_buy,0.06846,0.5761,2,0
week,2025-W31,momentum,0.0281,0.3855,3,0
week,2025-W31,lowvol,0.01059,0.2779,4,0
week,2025-W32,rz_buy,0.047,0.6458,1,1
week,2025-W32,reversal,0.03626,0.6073,2,0
week,2025-W32,lowvol,0.00952,0.4982,3,0
week,2025-W32,momentum,0.00665,0.465,4,0
week,2025-W33,rz_buy,0.05971,0.6899,1,1
week,2025-W33,lowvol,0.01321,0.5273,2,0
week,2025-W33,reversal,0.01145,0.5128,3,0
week,2025-W33,momentum,0.00538,0.4805,4,0
week,2025-W34,rz_buy,0.03893,0.6958,1,1
week,2025-W34,momentum,0.03877,0.6577,2,0
week,2025-W34,lowvol,-0.01061,0.5132,3,0
week,2025-W34,reversal,-0.03245,0.3978,4,0
week,2025-W35,rz_buy,0.07192,0.7611,1,1
week,2025-W35,reversal,0.00299,0.6251,2,0
week,2025-W35,lowvol,-0.0299,0.5179,3,0
week,2025-W35,momentum,-0.05162,0.3836,4,0
week,2025-W36,reversal,0.04879,0.6965,1,1
week,2025-W36,rz_buy,0.02804,0.6041,2,0
week,2025-W36,momentum,0.00327,0.4971,3,0
week,2025-W36,lowvol,-0.00686,0.4665,4,0
week,2025-W37,momentum,0.05984,0.8043,1,1
week,2025-W37,lowvol,0.01038,0.6706,2,0
week,2025-W37,reversal,0.00656,0.6327,3,0
week,2025-W37,rz_buy,-0.00026,0.5997,4,0
week,2025-W38,lowvol,0.03226,0.7253,1,1
week,2025-W38,momentum,0.00416,0.5874,2,0
week,2025-W38,rz_buy,0.0001,0.5737,3,0
week,2025-W38,reversal,-0.01827,0.4689,4,0
week,2025-W39,reversal,0.03689,0.5983,1,1
week,2025-W39,momentum,0.03464,0.5615,2,0
week,2025-W39,lowvol,0.01858,0.5358,3,0
week,2025-W39,rz_buy,0.01632,0.5244,4,0
week,2025-W40,reversal,0.11701,0.8553,1,1
week,2025-W40,rz_buy,0.05371,0.6969,2,0
week,2025-W40,lowvol,0.03026,0.5869,3,0
week,2025-W40,momentum,0.02514,0.5601,4,0
week,2025-W41,momentum,0.17731,0.9327,1,1
week,2025-W41,reversal,0.0585,0.715,2,0
week,2025-W41,rz_buy,0.02873,0.5937,3,0
week,2025-W41,lowvol,0.01532,0.5258,4,0
week,2025-W42,rz_buy,0.07501,0.6885,1,1
week,2025-W42,momentum,0.0927,0.6743,2,0
week,2025-W42,reversal,0.03786,0.5237,3,0
week,2025-W42,lowvol,0.02469,0.4636,4,0
week,2025-W43,rz_buy,0.03616,0.6743,1,1
week,2025-W43,lowvol,0.00561,0.5389,2,0
week,2025-W43,reversal,0.00535,0.5177,3,0
week,2025-W43,momentum,-0.00075,0.5082,4,0
week,2025-W44,momentum,0.14094,0.8389,1,1
week,2025-W44,rz_buy,0.02818,0.7393,2,0
week,2025-W44,lowvol,-0.01619,0.5877,3,0
week,2025-W44,reversal,-0.03432,0.4878,4,0
